site_id;region_site;dataset_sites;locality;lat_correct;long_correct
costa_rica-isla_ballena_ne;NA;franz;NA;9.10394372395436;-83.7219257859527
costa_rica-isla_manuelita_adentro;NA;franz;NA;5.56186111111111;-87.0469166666667
costa_rica-isla_manuelita_afuera;NA;franz;NA;5.56095;-87.04851
costa_rica-manuelita;NA;franz;NA;5.56187;-87.04693
costa_rica-isla_del_cano_sur;NA;franz;NA;8.69830555555555;-83.8890833333333
costa_rica-sandalo_1;NA;franz;NA;8.57886111111111;-83.3510833333333
costa_rica-isla_vikinga_cascara;costa_rica-isla_vikinga_cascara;metadata;cocos;5.549556;-87.0645
costa_rica-cueva_de_tiburon;costa_rica-cueva_de_tiburon;metadata;isla_del_cano;8.712694;-83.889778
costa_rica-el_arbolito_2;costa_rica-el_arbolito_2;metadata;dominical;9.222944;-83.846056
costa_rica-golondrinas;costa_rica-golondrinas;metadata;islas_murcielago;10.856809841864;-85.941498558214
costa_rica-mortero;costa_rica-mortero;metadata;islas_tortuga;9.78055821967433;-84.8895712816272
costa_rica-punta_bejuco;costa_rica-punta_bejuco;metadata;coyote;9.81418063306775;-85.3324271469628
costa_rica-san_pedrito;costa_rica-san_pedrito;metadata;islas_murcielago;10.8559680062521;-85.9511746865321
costa_rica-tombolo_noreste_1;costa_rica-tombolo_noreste_1;metadata;pn_marino_ballena;9.142278;-83.75675
costa_rica-tombolo_sur;costa_rica-tombolo_sur;metadata;pn_marino_ballena;9.146972;-83.767306
costa_rica-bajo_la_vita;costa_rica-bajo_la_vita;lab;islas_murcielago;10.8918833333333;-85.91575
costa_rica-bajo_negro;costa_rica-bajo_negro;lab;islas_murcielago;10.8341946843248;-85.8921732819334
costa_rica-bajo_pochote;costa_rica-bajo_pochote;lab;islas_murcielago;10.8574166666667;-85.9210666666667
costa_rica-cocinera_sur;costa_rica-cocinera_sur;lab;islas_murcielago;10.85575;-85.9007166666667
costa_rica-el_refugio;costa_rica-el_refugio;lab;islas_murcielago;10.8587916666667;-85.908225
costa_rica-isla_catalina;costa_rica-isla_catalina;lab;islas_murcielago;10.8560138888889;-85.9298194444444
costa_rica-isla_las_golondrinas;costa_rica-isla_las_golondrinas;lab;islas_murcielago;10.8569388888889;-85.9422194444444
costa_rica-isla_pelada;costa_rica-isla_pelada;lab;islas_murcielago;10.8719166666667;-85.8997
costa_rica-isla_san_pedrito;costa_rica-isla_san_pedrito;lab;islas_murcielago;10.8558527777778;-85.9511777777778
costa_rica-mm_2016;costa_rica-mm_2016;lab;islas_murcielago;10.8587555555556;-85.9119416666667
costa_rica-puerta_de_la_iglesia;costa_rica-puerta_de_la_iglesia;lab;islas_murcielago;10.8544833333333;-85.9160833333333
costa_rica-san_jose_norte;costa_rica-san_jose_norte;lab;islas_murcielago;10.85665;-85.9249333333333
costa_rica-san_jose_sur;costa_rica-san_jose_sur;lab;islas_murcielago;10.8594166666667;-85.9232166666667
