site_id;lat;long;region_site;dataset_sites;locality;Environment;site_id_correct
costa_rica-pelonas;10.578757;-85.71103;costa_rica-pelonas;lab;bahia_culebra;coral community;costa_rica-pelonas
costa_rica-palmitas;10.645021;-85.687132;costa_rica-palmitas;lab;bahia_culebra;coral community;costa_rica-palmitas
costa_rica-jicaral;10.619775;-85.676711;costa_rica-jicaral;lab;bahia_culebra;coral reef;costa_rica-jicaral
costa_rica-matapalo;10.54293747;-85.77970553;costa_rica-matapalo;lab;bahia_culebra;coral reef;costa_rica-matapalo
costa_rica-guiri_guiri;10.614064;-85.690592;costa_rica-guiri_guiri;lab;bahia_culebra;coral reef;costa_rica-guiri_guiri
costa_rica-el_arbolito;9.2255;-83.846472;costa_rica-el_arbolito;lab;dominical;rocky reef;costa_rica-el_arbolito
costa_rica-cambutal;9.207278;-83.829194;costa_rica-cambutal;lab;dominical;rocky reef;costa_rica-cambutal
costa_rica-la_viuda;9.15025;-83.782278;costa_rica-la_viuda;lab;pn_marino_ballena;rocky reef;costa_rica-la_viuda
costa_rica-tombolo_sur;9.146972;-83.767306;costa_rica-tombolo_sur;metadata;pn_marino_ballena;rocky reef;costa_rica-tombolo_sur
costa_rica-bajo_mauren;9.112583;-83.740917;costa_rica-bajo_mauren;lab;pn_marino_ballena;coral community;costa_rica-bajo_mauren
costa_rica-bajo_tres_hermanas;9.107;-83.712028;costa_rica-bajo_tres_hermanas;lab;pn_marino_ballena;coral community;costa_rica-bajo_tres_hermanas
costa_rica-roca_campanario;8.637972;-83.736333;costa_rica-roca_campanario;lab;peninsula_de_osa;rocky reef;costa_rica-roca_campanario
costa_rica-san_josecito;8.670994;-83.718178;costa_rica-san_josecito;lab;peninsula_de_osa;coral reef;costa_rica-san_josecito
costa_rica-isla_del_cano_sur;8.698305556;-83.88908333;costa_rica-isla_del_cano_sur;franz;isla_del_cano;rocky reef;costa_rica-piedra_llorona
costa_rica-isla_ballena;9.106611;-83.726167;costa_rica-isla_ballena;lab;pn_marino_ballena;rocky reef;costa_rica-isla_ballena
costa_rica-tombolo_noreste_1;9.142278;-83.75675;costa_rica-tombolo_noreste_1;metadata;pn_marino_ballena;coral community;costa_rica-tombolo_noreste_1
costa_rica-tres_hermanas;9.104083;-83.706861;costa_rica-tres_hermanas;lab;pn_marino_ballena;coral reef;costa_rica-tres_hermanas
costa_rica-cueva_de_tiburon;8.712694;-83.889778;costa_rica-cueva_de_tiburon;metadata;isla_del_cano;coral reef;costa_rica-cueva_del_tiburon
costa_rica-el_jardin;8.715472;-83.874528;costa_rica-el_jardin;lab;isla_del_cano;coral reef;costa_rica-el_jardin
costa_rica-la_catarata;8.706667;-83.866361;costa_rica-la_catarata;lab;isla_del_cano;coral reef;costa_rica-la_catarata
costa_rica-punta_adela;8.655056;-83.296111;costa_rica-punta_adela;lab;golfo_dulce;coral community;costa_rica-punta_adela
costa_rica-nicuesa;8.657056;-83.274389;costa_rica-nicuesa;lab;golfo_dulce;coral reef;costa_rica-nicuesa
costa_rica-punta_gallardo;8.636333;-83.246139;costa_rica-punta_gallardo;lab;golfo_dulce;coral community;costa_rica-punta_gallardo
costa_rica-islotes;8.730417;-83.385472;costa_rica-islotes;lab;golfo_dulce;coral community;costa_rica-islotes
costa_rica-mogos;8.722361;-83.410111;costa_rica-mogos;lab;golfo_dulce;coral reef;costa_rica-mogos
costa_rica-sandalo_1;8.578861111;-83.35108333;costa_rica-sandalo_1;franz;golfo_dulce;coral reef;costa_rica-sandalo_1
costa_rica-bahia_curu;9.793056;-84.917222;costa_rica-bahia_curu;lab;islas_tortuga;rocky reef;costa_rica-bahia_curu
costa_rica-tiburon;9.763417;-84.897556;costa_rica-tiburon;lab;islas_tortuga;rocky reef;costa_rica-tiburon
costa_rica-el_cirial;9.773472;-84.890583;costa_rica-el_cirial;lab;islas_tortuga;rocky reef;costa_rica-el_cirial
costa_rica-el_muneco;9.854944;-85.458972;costa_rica-el_muneco;lab;samara-carrillo;rocky reef;costa_rica-el_muneco
costa_rica-punta_carrillo;9.861;-85.486833;costa_rica-punta_carrillo;lab;samara-carrillo;rocky reef;costa_rica-punta_carrillo
costa_rica-punta_el_indio;9.864722;-85.497583;costa_rica-punta_el_indio;lab;samara-carrillo;rocky reef;costa_rica-punta_el_indio
costa_rica-isla_chora;9.863306;-85.515861;costa_rica-isla_chora;lab;samara-carrillo;rocky reef;costa_rica-isla_chora
costa_rica-el_cambute;9.7654;-85.275069;costa_rica-el_cambute;lab;coyote;rocky reef;costa_rica-el_cambute
costa_rica-punta_bejuco;9.48555;-85.20022;costa_rica-punta_bejuco;metadata;coyote;rocky reef;costa_rica-punta_bejuco
costa_rica-punta_islita;9.84585;-85.402811;costa_rica-punta_islita;lab;coyote;rocky reef;costa_rica-punta_islita
costa_rica-punta_pleito;10.031311;-85.743931;costa_rica-punta_pleito;lab;san_juanillo;rocky reef;costa_rica-punta_pleito
costa_rica-el_reloj;9.762778;-84.894417;costa_rica-el_reloj;lab;islas_tortuga;rocky reef;costa_rica-el_reloj
costa_rica-bahia_weston;5.552278;-87.050889;costa_rica-bahia_weston;lab;isla_del_coco;coral reef;costa_rica-mortero
costa_rica-bahia_yglesias;5.505778;-87.06775;costa_rica-bahia_yglesias;lab;isla_del_coco;coral reef;costa_rica-bahia_yglesias
costa_rica-roca_sumergida;5.504861;-87.055444;costa_rica-roca_sumergida;lab;isla_del_coco;rocky reef;costa_rica-roca_sumergida
costa_rica-rodolitos;5.545917;-87.029083;costa_rica-rodolitos;lab;isla_del_coco;rodolith bed;costa_rica-rodolitos
costa_rica-isla_ulloa;5.551444;-87.032444;costa_rica-isla_ulloa;lab;isla_del_coco;coral community;costa_rica-isla_ulloa
costa_rica-dos_amigos_pequeno;NA;NA;costa_rica-dos_amigos_pequeno;NA;isla_del_coco;rocky reef;costa_rica-dos_amigos_pequeno
costa_rica-punta_leonel;5.519306;-87.095806;costa_rica-punta_leonel;lab;isla_del_coco;rocky reef;costa_rica-punta_leonel
costa_rica-punta_maria;5.535361;-87.086806;costa_rica-punta_maria;lab;isla_del_coco;coral reef;costa_rica-punta_maria
costa_rica-punta_gissler;5.543361;-87.07175;costa_rica-punta_gissler;lab;isla_del_coco;coral reef;costa_rica-punta_gissler
costa_rica-isla_vikinga;5.549556;-87.0645;costa_rica-isla_vikinga;lab;isla_del_coco;coral reef;costa_rica-isla_vikinga
costa_rica-bahia_wafer;5.545944;-87.062306;costa_rica-bahia_wafer;lab;isla_del_coco;coral reef;costa_rica-bahia_wafer
costa_rica-roca_sucia;5.548222;-87.081694;costa_rica-roca_sucia;lab;isla_del_coco;rocky reef;costa_rica-roca_sucia
costa_rica-isla_manuelita_afuera;5.56095;-87.04851;costa_rica-isla_manuelita_afuera;franz;isla_del_coco;rocky reef;costa_rica-manuelita_afuera
costa_rica-bahia_chatham;5.552556;-87.040972;costa_rica-bahia_chatham;lab;isla_del_coco;coral reef;costa_rica-bahia_chatham
costa_rica-isla_manuelita_adentro;5.561861111;-87.04691667;costa_rica-isla_manuelita_adentro;franz;isla_del_coco;coral reef;costa_rica-isla_manuelita_adentro
costa_rica-piedra_llorona;8.509667;-83.666694;costa_rica-piedra_llorona;lab;peninsula_de_osa;rocky reef;costa_rica-piedra_llorona
