locality;month;day;year;sites;observer;zone;exposure;ID_transect;area_uvc;depth_m;genus_species;abund;size_cm
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;myripristis_berndti;9;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;myripristis_berndti;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;cephalopholis_panamensis;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;epinephelus_labriformis;1;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;epinephelus_labriformis;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;epinephelus_labriformis;2;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;paranthias_colonus;1;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;paranthias_colonus;4;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;paranthias_colonus;7;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;caranx_melampygus;1;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;caranx_melampygus;10;65
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;caranx_melampygus;4;60
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;lutjanus_viridis;38;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;lutjanus_viridis;5;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;johnrandallia_nigrirostris;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;stegastes_arcifrons;142;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;stegastes_arcifrons;22;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;bodianus_diplotaenia;4;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;bodianus_diplotaenia;6;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;halichoeres_discolor;8;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;halichoeres_discolor;4;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;thalassoma_grammaticum;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;thalassoma_lucasanum;540;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;thalassoma_lucasanum;12;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;scarus_rubroviolaceus;1;55
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;scarus_rubroviolaceus;2;45
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;scarus_rubroviolaceus;1;40
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;acanthurus_nigricans;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;acanthurus_xanthopterus;3;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;prionurus_laticlavius;6;35
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;melichthys_niger;80;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;zanclus_cornutus;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;aulostomus_chinensis;1;30
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;arothron_meleagris;10;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;arothron_meleagris;3;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;canthigaster_punctatissima;6;5
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;canthigaster_punctatissima;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1426;40;15;plagiotremus_azaleus;2;10
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;myripristis_berndti;1;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;myripristis_berndti;5;25
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;cephalopholis_panamensis;3;20
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;paranthias_colonus;30;15
cocos;11;;2014;cocos;observer_1;;;cocos_2014_cocos_observer_1_1427;40;15;paranthias_colonus;5;20
