site_id;locality;date;
7571;costa_rica-isla_san_pedrito;murcielago;2014-06-18
7576;costa_rica-isla_catalina;murcielago;2014-06-18
7581;costa_rica-isla_las_golondrinas;murcielago;2014-06-18
7589;costa_rica-bajo_pochote;murcielago;2014-06-18
7597;costa_rica-bajo_la_vita;la_vita;2014-06-19
7601;costa_rica-isla_pelada;murcielago;2014-06-19
7608;costa_rica-el_refugio;murcielago;2014-06-19
7614;costa_rica-bajo_negro;murcielago;2014-06-19
7622;costa_rica-bajo_negro;murcielago;2014-06-20
7625;costa_rica-bajo_la_vita;la_vita;2016-07-27
7632;costa_rica-isla_san_pedrito;murcielago;2016-07-27
7637;costa_rica-isla_las_golondrinas;murcielago;2016-07-27
7639;costa_rica-mm_2016;murcielago;2016-07-28
7651;costa_rica-isla_pelada;murcielago;2016-07-28
7666;costa_rica-cocinera_sur;murcielago;2018-04-22
7672;costa_rica-isla_pelada;murcielago;2018-04-23
7675;costa_rica-san_jose_norte;murcielago;2018-04-23
7678;costa_rica-isla_colorada_este;murcielago;2018-04-24
7679;costa_rica-isla_colorada_sur;murcielago;2018-04-26
7680;costa_rica-san_jose_sur;murcielago;2018-04-27
7681;costa_rica-isla_las_golondrinas;murcielago;2018-04-27
7682;costa_rica-matapalito;santa_elena;2018-04-28
7700;costa_rica-isla_leoncillo;santa_elena;2018-04-29
7704;costa_rica-isla_los_cabros;santa_elena;2018-04-29
7870;costa_rica-puerta_de_la_iglesia;murcielago;2018-04-22
7907;costa_rica-bajo_la_vita;la_vita;2018-04-24
7915;costa_rica-san_pedrillo;san_pedrillo;2018-04-25
7926;costa_rica-playas_coloradas;playas_coloradas;2018-04-26
7988;costa_rica-los_negritos;santa_elena;2018-04-30
7992;costa_rica-punta_morros;santa_elena;2018-04-30
8003;costa_rica-punta_blanca;santa_elena;2018-04-30
8789;costa_rica-playa_blanca;bahia_culebra;2014-07-22
8794;costa_rica-caletas_i;bahia_culebra;2014-07-23
8795;costa_rica-guiri_guiri;bahia_culebra;2014-07-23
8798;costa_rica-palmares_ii;bahia_culebra;2014-07-23
8807;costa_rica-bajo_percy;bahia_culebra;2014-07-24
8813;costa_rica-palmares_ii;bahia_culebra;2015-02-18
8824;costa_rica-playa_blanca;bahia_culebra;2015-02-18
8828;costa_rica-punta_cacique;bahia_culebra;2015-02-19
8839;costa_rica-cabeza_de_mono;bahia_culebra;2015-08-04
8841;costa_rica-caletas_i;bahia_culebra;2015-08-04
8846;costa_rica-guiri_guiri;bahia_culebra;2015-08-05
8848;costa_rica-palmares_ii;bahia_culebra;2015-08-05
8857;costa_rica-playa_blanca;bahia_culebra;2015-08-05
8869;costa_rica-bajo_percy;bahia_culebra;2015-08-06
8874;costa_rica-matapalo;bahia_culebra;2015-08-06
